test,ops,query,truth,gate_state,gate_value,gate_used,gate_cost,fixed_sensor,fixed_value,fixed_cost,all_state,all_value,all_cost
3,lowcontrast+blur+noise,red_quadrilateral,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,lowcontrast+blur+noise,red_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,lowcontrast+blur+noise,blue_quadrilateral,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,lowcontrast+blur+noise,blue_triangle,1,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
3,lowcontrast+blur+noise,green_quadrilateral,1,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
3,lowcontrast+blur+noise,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,rotate+lowcontrast,total,4,1,4,RAW;CONSERVATIVE,3,DENOISE,4,2,1,4,17
3,rotate+lowcontrast,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
3,rotate+lowcontrast,quadrilateral,3,1,3,CONSERVATIVE;DENOISE,4,CONSERVATIVE,3,2,1,3,17
3,rotate+lowcontrast,red,1,0,,,0,OTSU_CHROMA,0,5,0,,17
3,rotate+lowcontrast,blue,2,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,rotate+lowcontrast,green,1,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
3,rotate+lowcontrast,red_quadrilateral,1,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,0,,17
3,rotate+lowcontrast,red_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,rotate+lowcontrast,blue_quadrilateral,1,0,,GAIN,3,OTSU_CHROMA,0,5,1,0,17
3,rotate+lowcontrast,blue_triangle,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,rotate+lowcontrast,green_quadrilateral,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,rotate+lowcontrast,green_triangle,0,1,0,OTSU_RGB;OTSU_CHROMA,9,OTSU_CHROMA,0,5,1,0,17
3,occlude+dark,total,4,1,4,CONSERVATIVE,2,DENOISE,4,2,1,4,17
3,occlude+dark,triangle,1,1,1,CONSERVATIVE;OTSU_RGB,6,CONSERVATIVE,1,2,1,1,17
3,occlude+dark,quadrilateral,3,0,,,0,CONSERVATIVE,3,2,1,3,17
3,occlude+dark,red,1,0,,,0,OTSU_CHROMA,1,5,0,,17
3,occlude+dark,blue,2,0,,,0,OTSU_CHROMA,2,5,0,,17
3,occlude+dark,green,1,0,,OTSU_RGB;OTSU_CHROMA,9,OTSU_CHROMA,1,5,0,,17
3,occlude+dark,red_quadrilateral,1,0,,,0,OTSU_CHROMA,1,5,0,,17
3,occlude+dark,red_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,occlude+dark,blue_quadrilateral,1,0,,,0,OTSU_CHROMA,1,5,0,,17
3,occlude+dark,blue_triangle,1,0,,,0,OTSU_CHROMA,1,5,0,,17
3,occlude+dark,green_quadrilateral,1,1,1,OTSU_CHROMA,5,OTSU_CHROMA,1,5,0,,17
3,occlude+dark,green_triangle,0,1,0,OTSU_RGB;OTSU_CHROMA,9,OTSU_CHROMA,0,5,1,0,17
3,rotate+occlude,total,4,1,4,CONSERVATIVE;DENOISE,4,DENOISE,4,2,1,4,17
3,rotate+occlude,triangle,1,1,1,CONSERVATIVE;OTSU_RGB,6,CONSERVATIVE,1,2,1,1,17
3,rotate+occlude,quadrilateral,3,0,,,0,CONSERVATIVE,3,2,1,3,17
3,rotate+occlude,red,1,0,,,0,OTSU_CHROMA,1,5,1,1,17
3,rotate+occlude,blue,2,0,,OTSU_RGB,4,OTSU_CHROMA,2,5,1,2,17
3,rotate+occlude,green,1,1,1,RAW;CONSERVATIVE,3,OTSU_CHROMA,1,5,1,1,17
3,rotate+occlude,red_quadrilateral,1,0,,OTSU_CHROMA,5,OTSU_CHROMA,1,5,1,1,17
3,rotate+occlude,red_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,rotate+occlude,blue_quadrilateral,1,0,,,0,OTSU_CHROMA,1,5,1,1,17
3,rotate+occlude,blue_triangle,1,0,,,0,OTSU_CHROMA,1,5,1,1,17
3,rotate+occlude,green_quadrilateral,1,1,1,RAW;CONSERVATIVE,3,OTSU_CHROMA,1,5,1,1,17
3,rotate+occlude,green_triangle,0,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
3,dark+occlude+noise,total,4,1,4,CONSERVATIVE,2,DENOISE,4,2,0,,17
3,dark+occlude+noise,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,0,,17
3,dark+occlude+noise,quadrilateral,3,1,3,CONSERVATIVE;DENOISE,4,CONSERVATIVE,3,2,0,,17
3,dark+occlude+noise,red,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,dark+occlude+noise,blue,2,0,,,0,OTSU_CHROMA,2,5,0,,17
3,dark+occlude+noise,green,1,0,,OTSU_RGB,4,OTSU_CHROMA,1,5,0,,17
3,dark+occlude+noise,red_quadrilateral,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,dark+occlude+noise,red_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,dark+occlude+noise,blue_quadrilateral,1,0,,,0,OTSU_CHROMA,1,5,0,,17
3,dark+occlude+noise,blue_triangle,1,0,,OTSU_CHROMA,5,OTSU_CHROMA,1,5,0,,17
3,dark+occlude+noise,green_quadrilateral,1,1,1,OTSU_CHROMA,5,OTSU_CHROMA,1,5,0,,17
3,dark+occlude+noise,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,lowcontrast+blur,total,2,1,2,RAW;CONSERVATIVE,3,DENOISE,2,2,1,2,17
4,lowcontrast+blur,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
4,lowcontrast+blur,quadrilateral,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
4,lowcontrast+blur,red,2,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,lowcontrast+blur,blue,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,lowcontrast+blur,green,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,lowcontrast+blur,red_quadrilateral,1,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
4,lowcontrast+blur,red_triangle,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,lowcontrast+blur,blue_quadrilateral,0,0,,GAIN,3,OTSU_CHROMA,0,5,1,0,17
4,lowcontrast+blur,blue_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,lowcontrast+blur,green_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,lowcontrast+blur,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,rotate+dark,total,2,1,2,RAW;CONSERVATIVE,3,DENOISE,2,2,1,2,17
4,rotate+dark,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
4,rotate+dark,quadrilateral,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
4,rotate+dark,red,2,0,,,0,OTSU_CHROMA,2,5,0,,17
4,rotate+dark,blue,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,rotate+dark,green,0,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
4,rotate+dark,red_quadrilateral,1,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,1,5,0,,17
4,rotate+dark,red_triangle,1,0,,,0,OTSU_CHROMA,1,5,0,,17
4,rotate+dark,blue_quadrilateral,0,0,,GAIN,3,OTSU_CHROMA,0,5,1,0,17
4,rotate+dark,blue_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,rotate+dark,green_quadrilateral,0,1,0,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
4,rotate+dark,green_triangle,0,1,0,OTSU_RGB;OTSU_CHROMA,9,OTSU_CHROMA,0,5,1,0,17
4,occlude+noise,total,2,1,2,CONSERVATIVE;DENOISE,4,DENOISE,2,2,0,,17
4,occlude+noise,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,0,,17
4,occlude+noise,quadrilateral,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
4,occlude+noise,red,2,0,,,0,OTSU_CHROMA,2,5,0,,17
4,occlude+noise,blue,0,0,,OTSU_RGB,4,OTSU_CHROMA,0,5,1,0,17
4,occlude+noise,green,0,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
4,occlude+noise,red_quadrilateral,1,0,,,0,OTSU_CHROMA,1,5,0,,17
4,occlude+noise,red_triangle,1,0,,,0,OTSU_CHROMA,1,5,0,,17
4,occlude+noise,blue_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,occlude+noise,blue_triangle,0,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
4,occlude+noise,green_quadrilateral,0,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
4,occlude+noise,green_triangle,0,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
4,dark+blur+noise,total,2,1,2,CONSERVATIVE,2,DENOISE,2,2,0,,17
4,dark+blur+noise,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,0,,17
4,dark+blur+noise,quadrilateral,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
4,dark+blur+noise,red,2,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,dark+blur+noise,blue,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,dark+blur+noise,green,0,0,,OTSU_RGB,4,OTSU_CHROMA,0,5,1,0,17
4,dark+blur+noise,red_quadrilateral,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,dark+blur+noise,red_triangle,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,dark+blur+noise,blue_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,dark+blur+noise,blue_triangle,0,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
4,dark+blur+noise,green_quadrilateral,0,1,0,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
4,dark+blur+noise,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,lowcontrast+blur+noise,total,2,1,2,CONSERVATIVE;DENOISE,4,DENOISE,2,2,0,,17
4,lowcontrast+blur+noise,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,0,,17
4,lowcontrast+blur+noise,quadrilateral,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
4,lowcontrast+blur+noise,red,2,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,lowcontrast+blur+noise,blue,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,lowcontrast+blur+noise,green,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,lowcontrast+blur+noise,red_quadrilateral,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,lowcontrast+blur+noise,red_triangle,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,lowcontrast+blur+noise,blue_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,lowcontrast+blur+noise,blue_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,lowcontrast+blur+noise,green_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,lowcontrast+blur+noise,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,rotate+lowcontrast,total,2,1,2,RAW;CONSERVATIVE,3,DENOISE,2,2,1,2,17
4,rotate+lowcontrast,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
4,rotate+lowcontrast,quadrilateral,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
4,rotate+lowcontrast,red,2,0,,,0,OTSU_CHROMA,0,5,0,,17
4,rotate+lowcontrast,blue,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,rotate+lowcontrast,green,0,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
4,rotate+lowcontrast,red_quadrilateral,1,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,0,,17
4,rotate+lowcontrast,red_triangle,1,0,,,0,OTSU_CHROMA,0,5,0,,17
4,rotate+lowcontrast,blue_quadrilateral,0,0,,GAIN,3,OTSU_CHROMA,0,5,1,0,17
4,rotate+lowcontrast,blue_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,rotate+lowcontrast,green_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,rotate+lowcontrast,green_triangle,0,1,0,OTSU_RGB;OTSU_CHROMA,9,OTSU_CHROMA,0,5,1,0,17
4,occlude+dark,total,2,1,2,RAW;CONSERVATIVE,3,DENOISE,2,2,1,2,17
4,occlude+dark,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
4,occlude+dark,quadrilateral,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
4,occlude+dark,red,2,0,,,0,OTSU_CHROMA,2,5,0,,17
4,occlude+dark,blue,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,occlude+dark,green,0,1,0,OTSU_RGB;OTSU_CHROMA,9,OTSU_CHROMA,0,5,1,0,17
4,occlude+dark,red_quadrilateral,1,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,1,5,0,,17
4,occlude+dark,red_triangle,1,0,,,0,OTSU_CHROMA,1,5,0,,17
4,occlude+dark,blue_quadrilateral,0,0,,GAIN,3,OTSU_CHROMA,0,5,1,0,17
4,occlude+dark,blue_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,occlude+dark,green_quadrilateral,0,1,0,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
4,occlude+dark,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,rotate+occlude,total,2,1,2,CONSERVATIVE;DENOISE,4,DENOISE,2,2,1,2,17
4,rotate+occlude,triangle,1,0,,,0,CONSERVATIVE,0,2,1,0,17
4,rotate+occlude,quadrilateral,1,0,,,0,CONSERVATIVE,1,2,1,1,17
4,rotate+occlude,red,2,0,,,0,OTSU_CHROMA,2,5,1,2,17
4,rotate+occlude,blue,0,0,,OTSU_RGB,4,OTSU_CHROMA,0,5,1,0,17
4,rotate+occlude,green,0,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
4,rotate+occlude,red_quadrilateral,1,1,1,RAW;CONSERVATIVE,3,OTSU_CHROMA,1,5,1,1,17
4,rotate+occlude,red_triangle,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,rotate+occlude,blue_quadrilateral,0,0,,GAIN,3,OTSU_CHROMA,0,5,1,0,17
4,rotate+occlude,blue_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,rotate+occlude,green_quadrilateral,0,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
4,rotate+occlude,green_triangle,0,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
4,dark+occlude+noise,total,2,1,2,CONSERVATIVE,2,DENOISE,2,2,0,,17
4,dark+occlude+noise,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,0,,17
4,dark+occlude+noise,quadrilateral,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
4,dark+occlude+noise,red,2,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,dark+occlude+noise,blue,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,dark+occlude+noise,green,0,0,,OTSU_RGB,4,OTSU_CHROMA,0,5,1,0,17
4,dark+occlude+noise,red_quadrilateral,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,dark+occlude+noise,red_triangle,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,dark+occlude+noise,blue_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
4,dark+occlude+noise,blue_triangle,0,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
4,dark+occlude+noise,green_quadrilateral,0,1,0,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
4,dark+occlude+noise,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
